n,gameOver,head,score,visionUp,visionRight,visionDown,visionLeft,directionChoice
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,2
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,2
2,1,"[9, 5]",0,1.0,0.0,1.0,0.0,2
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
1,0,"[7, 6]",0,0.0,0.0,0.0,1.0,3
2,0,"[7, 7]",0,0.0,0.0,0.0,1.0,3
3,0,"[7, 8]",0,0.0,0.0,0.0,1.0,2
4,0,"[8, 8]",0,1.0,0.0,0.0,0.0,1
5,0,"[8, 9]",0,0.0,1.0,0.0,1.0,0
6,0,"[7, 9]",0,0.0,1.0,1.0,0.0,0
7,0,"[6, 9]",0,0.0,1.0,1.0,0.0,3
8,0,"[6, 8]",0,0.0,1.0,0.0,0.0,3
9,0,"[6, 7]",0,0.0,1.0,0.0,0.0,3
10,0,"[6, 6]",0,0.0,1.0,0.0,0.0,2
11,0,"[7, 6]",0,1.0,0.0,0.0,0.0,0
12,0,"[8, 6]",0,1.0,0.0,0.0,0.0,0
13,1,"[9, 6]",0,1.0,0.0,1.0,0.0,2
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,3
1,0,"[5, 8]",1,0.0,0.0,0.0,1.0,0
2,0,"[4, 8]",1,0.0,0.0,1.0,0.0,1
3,1,"[4, 9]",1,0.0,1.0,0.0,1.0,1
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,0
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,0
2,1,"[9, 5]",0,1.0,0.0,1.0,0.0,0
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,2
1,0,"[6, 7]",0,1.0,0.0,0.0,0.0,1
2,0,"[6, 8]",0,0.0,0.0,0.0,1.0,2
3,0,"[7, 8]",0,1.0,0.0,0.0,0.0,0
4,0,"[8, 8]",0,1.0,0.0,0.0,0.0,1
5,0,"[8, 9]",0,0.0,1.0,0.0,1.0,2
6,0,"[9, 9]",0,1.0,1.0,1.0,0.0,3
7,0,"[9, 8]",0,0.0,1.0,1.0,0.0,0
8,0,"[8, 8]",0,0.0,0.0,1.0,0.0,0
9,0,"[7, 8]",0,0.0,0.0,1.0,0.0,3
10,0,"[7, 7]",0,0.0,1.0,0.0,0.0,0
11,0,"[6, 7]",0,0.0,0.0,1.0,0.0,1
12,0,"[6, 8]",0,0.0,0.0,0.0,1.0,2
13,0,"[7, 8]",0,1.0,0.0,0.0,0.0,0
14,0,"[8, 8]",0,1.0,0.0,0.0,0.0,1
15,1,"[8, 9]",0,0.0,1.0,0.0,1.0,3
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,1
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,3
2,1,"[5, 9]",0,0.0,1.0,0.0,1.0,3
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,1
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,3
2,0,"[5, 9]",0,0.0,1.0,0.0,1.0,2
3,1,"[6, 9]",0,1.0,1.0,0.0,0.0,1
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,2
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,0
2,1,"[9, 5]",0,1.0,0.0,1.0,0.0,0
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
1,0,"[7, 6]",0,0.0,0.0,0.0,1.0,1
2,0,"[7, 7]",0,0.0,0.0,0.0,1.0,3
3,0,"[7, 8]",0,0.0,0.0,0.0,1.0,2
4,0,"[8, 8]",0,1.0,0.0,0.0,0.0,2
5,0,"[9, 8]",0,1.0,0.0,1.0,0.0,3
6,0,"[9, 7]",0,0.0,1.0,1.0,0.0,0
7,0,"[8, 7]",0,0.0,0.0,1.0,0.0,1
8,0,"[8, 8]",0,0.0,0.0,0.0,1.0,3
9,0,"[8, 9]",0,0.0,1.0,0.0,1.0,2
10,1,"[9, 9]",0,1.0,1.0,1.0,0.0,0
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,2
1,0,"[6, 7]",0,1.0,0.0,0.0,0.0,1
2,0,"[6, 8]",0,0.0,0.0,0.0,1.0,3
3,1,"[6, 9]",0,0.0,1.0,0.0,1.0,3
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
1,0,"[7, 6]",0,0.0,0.0,0.0,1.0,1
2,0,"[7, 7]",0,0.0,0.0,0.0,1.0,0
3,0,"[6, 7]",0,0.0,0.0,1.0,0.0,2
4,0,"[5, 7]",0,0.0,0.0,1.0,0.0,1
5,0,"[5, 8]",0,0.0,0.0,0.0,1.0,3
6,0,"[5, 9]",0,0.0,1.0,0.0,1.0,0
7,0,"[4, 9]",0,0.0,1.0,1.0,0.0,2
8,0,"[3, 9]",0,0.0,1.0,1.0,0.0,3
9,0,"[3, 8]",0,0.0,1.0,0.0,0.0,0
10,0,"[2, 8]",0,0.0,0.0,1.0,0.0,2
11,0,"[1, 8]",0,0.0,0.0,1.0,0.0,3
12,0,"[1, 7]",0,0.0,1.0,0.0,0.0,1
13,0,"[1, 6]",0,0.0,1.0,0.0,0.0,2
14,0,"[2, 6]",0,1.0,0.0,0.0,0.0,2
15,0,"[3, 6]",0,1.0,0.0,0.0,0.0,3
16,0,"[3, 5]",0,0.0,1.0,0.0,0.0,2
17,0,"[4, 5]",0,1.0,0.0,0.0,0.0,1
18,0,"[4, 6]",0,0.0,0.0,0.0,1.0,2
19,0,"[5, 6]",0,1.0,0.0,0.0,0.0,1
20,0,"[5, 7]",0,0.0,0.0,0.0,1.0,0
21,0,"[4, 7]",0,0.0,0.0,1.0,0.0,2
22,0,"[3, 7]",0,0.0,0.0,1.0,0.0,1
23,0,"[3, 8]",0,0.0,0.0,0.0,1.0,1
24,0,"[3, 9]",0,0.0,1.0,0.0,1.0,2
25,0,"[4, 9]",0,1.0,1.0,0.0,0.0,2
26,1,"[5, 9]",0,1.0,1.0,0.0,0.0,1
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,3
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,3
2,0,"[5, 9]",0,0.0,1.0,0.0,1.0,2
